numStations=1
Station 0:rit
numEvents=6
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T18:33:38.793     437.00999989     437.00999965    437.01000012
2020-03-03T18:34:38.793     437.00991537     437.00991472    437.00991602
2020-03-03T18:35:38.793     437.00972015     437.00971876    437.00972153
2020-03-03T18:36:38.793     437.00931256     437.00930967    437.00931543
2020-03-03T18:37:38.793     437.00844326     437.00843694    437.00844955
2020-03-03T18:38:38.793     437.00648033     437.00646589    437.00649471
2020-03-03T18:39:38.793     437.00231080     437.00228372    437.00233782
2020-03-03T18:40:38.793     436.99671758     436.99669259    436.99674263
2020-03-03T18:41:38.793     436.99302183     436.99300948    436.99303424
2020-03-03T18:42:38.793     436.99133987     436.99133446    436.99134530
2020-03-03T18:43:38.793     436.99058880     436.99058630    436.99059131
2020-03-03T18:44:38.793     436.99023376     436.99023255    436.99023496
2020-03-03T18:45:38.793     436.99006513     436.99006459    436.99006568
2020-03-03T18:46:38.793     436.98999605     436.98999588    436.98999623
2020-03-03T18:47:38.793     436.98998679     436.98998672    436.98998685
2020-03-03T18:48:38.793     436.99001742     436.99001719    436.99001765
2020-03-03T18:49:38.793     436.99007714     436.99007678    436.99007750
2020-03-03T18:50:38.793     436.99015968     436.99015921    436.99016014
Access Number: 1            Sta # 0 Nom         Lower           Upper       
2020-03-03T20:11:10.569     437.00565813     437.00565277    437.00566349
2020-03-03T20:12:10.569     437.00444028     437.00443344    437.00444710
2020-03-03T20:13:10.569     437.00293066     437.00292244    437.00293888
2020-03-03T20:14:10.569     437.00118188     437.00117273    437.00119103
2020-03-03T20:15:10.569     436.99932510     436.99931584    436.99933437
2020-03-03T20:16:10.569     436.99753508     436.99752657    436.99754359
2020-03-03T20:17:10.569     436.99595956     436.99595237    436.99596675
2020-03-03T20:18:10.569     436.99467127     436.99466557    436.99467697
2020-03-03T20:19:10.569     436.99367173     436.99366741    436.99367607
2020-03-03T20:20:10.569     436.99292292     436.99291972    436.99292612
2020-03-03T20:21:10.569     436.99237563     436.99237332    436.99237794
2020-03-03T20:22:10.569     436.99198452     436.99198289    436.99198615
2020-03-03T20:23:10.569     436.99171304     436.99171194    436.99171415
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-04T03:52:29.021     437.00839419     437.00839172    437.00839665
2020-03-04T03:53:29.021     437.00777623     437.00777242    437.00778002
2020-03-04T03:54:29.021     437.00683183     437.00682607    437.00683759
2020-03-04T03:55:29.021     437.00542189     437.00541344    437.00543033
2020-03-04T03:56:29.021     437.00343027     437.00341882    437.00344170
2020-03-04T03:57:29.021     437.00091281     437.00089939    437.00092623
2020-03-04T03:58:29.021     436.99822595     436.99821295    436.99823896
2020-03-04T03:59:29.021     436.99585126     436.99584074    436.99586178
2020-03-04T04:00:29.021     436.99404921     436.99404168    436.99405675
2020-03-04T04:01:29.021     436.99280042     436.99279535    436.99280550
2020-03-04T04:02:29.021     436.99197009     436.99196676    436.99197343
2020-03-04T04:03:29.021     436.99142729     436.99142513    436.99142946
2020-03-04T04:04:29.021     436.99107746     436.99107608    436.99107884
2020-03-04T04:05:29.021     436.99085865     436.99085781    436.99085949
2020-03-04T04:06:29.021     436.99073134     436.99073089    436.99073179
2020-03-04T04:07:29.021     436.99067018     436.99067001    436.99067035
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-04T05:26:47.054     437.01006648     437.01006635    437.01006662
2020-03-04T05:27:47.054     437.01000693     437.01000643    437.01000741
2020-03-04T05:28:47.054     437.00985196     437.00985083    437.00985309
2020-03-04T05:29:47.054     437.00951028     437.00950781    437.00951274
2020-03-04T05:30:47.054     437.00874240     437.00873666    437.00874811
2020-03-04T05:31:47.054     437.00686293     437.00684844    437.00687735
2020-03-04T05:32:47.054     437.00238866     437.00235828    437.00241898
2020-03-04T05:33:47.054     436.99616897     436.99614246    436.99619557
2020-03-04T05:34:47.054     436.99249534     436.99248400    436.99250674
2020-03-04T05:35:47.054     436.99101484     436.99101030    436.99101940
2020-03-04T05:36:47.054     436.99040007     436.99039809    436.99040206
2020-03-04T05:37:47.054     436.99012574     436.99012484    436.99012663
2020-03-04T05:38:47.054     436.99000641     436.99000605    436.99000676
2020-03-04T05:39:47.054     436.98996908     436.98996903    436.98996912
2020-03-04T05:40:47.054     436.98998125     436.98998110    436.98998141
2020-03-04T05:41:47.054     436.99002689     436.99002659    436.99002718
2020-03-04T05:42:47.054     436.99009734     436.99009693    436.99009774
2020-03-04T05:43:47.054     436.99018761     436.99018712    436.99018811
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-04T07:06:27.047     437.00495844     437.00495290    437.00496398
2020-03-04T07:07:27.047     437.00372211     437.00371529    437.00372892
2020-03-04T07:08:27.047     437.00224414     437.00223623    437.00225204
2020-03-04T07:09:27.047     437.00059405     437.00058556    437.00060253
2020-03-04T07:10:27.047     436.99889802     436.99888968    436.99890637
2020-03-04T07:11:27.047     436.99729997     436.99729244    436.99730751
2020-03-04T07:12:27.047     436.99590876     436.99590243    436.99591510
2020-03-04T07:13:27.047     436.99477159     436.99476655    436.99477664
2020-03-04T07:14:27.047     436.99388324     436.99387937    436.99388711
2020-03-04T07:15:27.047     436.99321060     436.99320771    436.99321350
2020-03-04T07:16:27.047     436.99271299     436.99271087    436.99271511
2020-03-04T07:17:27.047     436.99235287     436.99235136    436.99235438
Access Number: 5            Sta # 0 Nom         Lower           Upper       
2020-03-04T17:10:50.651     437.00896271     437.00896133    437.00896409
2020-03-04T17:11:50.651     437.00860146     437.00859915    437.00860376
2020-03-04T17:12:50.651     437.00800311     437.00799931    437.00800691
2020-03-04T17:13:50.651     437.00701856     437.00701231    437.00702478
2020-03-04T17:14:50.651     437.00542545     437.00541554    437.00543534
2020-03-04T17:15:50.651     437.00301708     437.00300296    437.00303118
2020-03-04T17:16:50.651     436.99992710     436.99991095    436.99994324
